epoch,step,train_accuracy,train_loss_epoch,train_loss_step,val_accuracy,val_loss
0,27,,,,0.684684693813324,0.65777587890625
0,27,0.5506756901741028,0.8174203634262085,,,
1,49,,,0.45666182041168213,,
1,55,,,,0.6801801919937134,0.6441816687583923
1,55,0.6768018007278442,0.6299183368682861,,,
2,83,,,,0.8018018007278442,0.48916035890579224
2,83,0.7657657861709595,0.5186227560043335,,,
3,99,,,0.5734906196594238,,
3,111,,,,0.815315306186676,0.4408336579799652
3,111,0.7939189076423645,0.4658457040786743,,,
4,139,,,,0.837837815284729,0.41314536333084106
4,139,0.8265765905380249,0.40749889612197876,,,
5,149,,,0.352647989988327,,
5,167,,,,0.837837815284729,0.38457372784614563
5,167,0.8513513803482056,0.3621982932090759,,,
6,195,,,,0.869369387626648,0.3572326898574829
6,195,0.8569819927215576,0.350720077753067,,,
7,199,,,0.3283746838569641,,
7,223,,,,0.8603603839874268,0.35431545972824097
7,223,0.8704954981803894,0.298717737197876,,,
8,249,,,0.19420269131660461,,
8,251,,,,0.8648648858070374,0.2883847653865814
8,251,0.9042792916297913,0.24525393545627594,,,
9,279,,,,0.9054054021835327,0.22402635216712952
9,279,0.8941441178321838,0.22718535363674164,,,
10,299,,,0.11931057274341583,,
10,307,,,,0.9189189076423645,0.23700456321239471
10,307,0.9245495200157166,0.18499073386192322,,,
11,335,,,,0.9189189076423645,0.23941589891910553
11,335,0.9256756901741028,0.18838343024253845,,,
12,349,,,0.10179349780082703,,
12,363,,,,0.9279279112815857,0.19387978315353394
12,363,0.954954981803894,0.12223765254020691,,,
13,391,,,,0.9054054021835327,0.22519177198410034
13,391,0.9560810923576355,0.11101003736257553,,,
14,399,,,0.04252772778272629,,
14,419,,,,0.9279279112815857,0.1603439748287201
14,419,0.9560810923576355,0.11715979874134064,,,
15,447,,,,0.9459459185600281,0.18580591678619385
15,447,0.9684684872627258,0.0970517247915268,,,
16,449,,,0.07738462835550308,,
16,475,,,,0.9279279112815857,0.2203264981508255
16,475,0.9662162065505981,0.08401859551668167,,,
17,499,,,0.06714069843292236,,
17,503,,,,0.9144144058227539,0.21730628609657288
17,503,0.9740990996360779,0.06724508106708527,,,
18,531,,,,0.9144144058227539,0.18378332257270813
18,531,0.9740990996360779,0.07594063878059387,,,
19,549,,,0.01535798516124487,,
19,559,,,,0.9369369149208069,0.18160398304462433
19,559,0.9853603839874268,0.03975740075111389,,,
20,587,,,,0.9414414167404175,0.16028329730033875
20,587,0.9831081032752991,0.04347134381532669,,,
21,599,,,0.008056402206420898,,
21,615,,,,0.9279279112815857,0.2010255753993988
21,615,0.9876126050949097,0.03958295285701752,,,
22,643,,,,0.9324324131011963,0.1765332967042923
22,643,0.9909909963607788,0.028744729235768318,,,
23,649,,,0.014557210728526115,,
23,671,,,,0.9324324131011963,0.1800999641418457
23,671,0.9853603839874268,0.03808166831731796,,,
24,699,,,0.09947489947080612,,
24,699,,,,0.9459459185600281,0.14927944540977478
24,699,0.9876126050949097,0.02723127231001854,,,
25,727,,,,0.9414414167404175,0.2200695425271988
25,727,0.9887387156486511,0.03552429378032684,,,
26,749,,,0.03871117904782295,,
26,755,,,,0.9279279112815857,0.1703144758939743
26,755,0.9786036014556885,0.0683448314666748,,,
27,783,,,,0.9234234094619751,0.23573099076747894
27,783,0.9831081032752991,0.047959718853235245,,,
28,799,,,0.001830335590057075,,
28,811,,,,0.9144144058227539,0.24683992564678192
28,811,0.9876126050949097,0.029612410813570023,,,
29,839,,,,0.9459459185600281,0.1745097041130066
29,839,0.9876126050949097,0.03345758095383644,,,
30,849,,,0.009567857719957829,,
30,867,,,,0.9279279112815857,0.2091638445854187
30,867,0.9842342138290405,0.034198369830846786,,,
31,895,,,,0.9324324131011963,0.2330060750246048
31,895,0.9909909963607788,0.025598697364330292,,,
32,899,,,0.011476635932922363,,
32,923,,,,0.9234234094619751,0.19223091006278992
32,923,0.9887387156486511,0.02874794602394104,,,
33,949,,,0.04659496992826462,,
33,951,,,,0.9459459185600281,0.19408632814884186
33,951,0.994369387626648,0.019214849919080734,,,
34,979,,,,0.9504504799842834,0.19594743847846985
34,979,0.9853603839874268,0.0329759418964386,,,
35,999,,,0.06963444501161575,,
35,1007,,,,0.954954981803894,0.15504974126815796
35,1007,0.9921171069145203,0.02977549284696579,,,
